,1.bicycle,,,2.bonsai,,,3.counter,,,4.flowers,,,5.garden,,,6.kitchen,,,7.room,,,8.stump,,,9.treehill,,,,,,,,,,,,,
Outputs,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR,SSIM,LPIPS,,,,,,,,
QP,JPEG SSIM,Rendered JPEG SSIM,,,,,QP,JPEG SSIM,Rendered JPEG SSIM,,,,,,,,,,,,,,,,,,,,27 ,30.781,0.871,0.099,25.527,0.752,0.195,,,
90,0.955,0.92,,,,,90,0.962,0.784,,,,,,,,,,,QF,JPEG PSNR,JPEG SSIM,JPEG LPIPS,RenderedPSNR,Rendered SSIM,Rendered LPIPS,,,32 ,28.335,0.777,0.211,23.782,0.652,0.326,,,
70,0.903,0.894,,,,,70,0.904,0.759,,,,,,,,,,,50 ,29.679,0.871,0.084,25.624,0.787,0.173,,,37 ,25.731,0.672,0.345,21.542,0.543,0.435,,,
50,0.868,0.875,,,,,50,0.867,0.718,,,,,,,,,,,30 ,28.070,0.825,0.149,25.366,0.767,0.218,,,42 ,24.022,0.580,0.455,20.420,0.481,0.557,,,
30,0.824,0.842,,,,,30,0.818,0.698,,,,,,,,,,,10 ,24.462,0.673,0.345,22.611,0.617,0.367,,,,,,,,,,,,
10,0.667,0.702,,,,,10,0.670,0.542,,,,,,,,,,,QP,HEVC PSNR,HEVC SSIM,HEVC LPIPS,RenderedPSNR,Rendered SSIM,Rendered LPIPS,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,27 ,30.781,0.871,0.099,25.527,0.752,0.195,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,32 ,28.335,0.777,0.211,23.782,0.652,0.326,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,37 ,25.731,0.672,0.345,21.542,0.543,0.435,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,QF/QP,JPEG Rendered PSNR,HEVC Rendered PSNR,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,50/27,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,30/32,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10/37,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,코덱,Input PSNR (X),Rendered PSNR (Y),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,JPEG,29.679,25.624,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,JPEG,28.07,25.366,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,JPEG,24.462,22.611,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,HEVC,30.781,25.527,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,HEVC,28.335,23.782,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,HEVC,25.731,21.542,,,,,,,,,,,,,,,,
